query,entity
41822.53293,jobs
11255.17204,Tropical cyclone
9945.875141,police
7347.502328,education
5660.441393,energy
5265.224584,Health Care
5175.790408,military
4856.001758,security
4643.058086,trade
3566.016083,Murder
2915.661959,immigration
2863.633467,unemployment
2761.557745,wages
1942.713847,economy
1202.569612,Petroleum
1090.956519,Terrorism 
1035.210009,Income tax
707.786179,missiles
572.292874,women's rights
445.307525,Substance Abuse
429.747663,Global warming
190.042221,gun control
111.892591,nuclear warfare
68.573515,gun violence
38.674657,War in Afghanistan
