term,category,id,index_past_week
Drug Overdose,topic,/m/01tf_6,4.954122976
Manufacturing,economy,/m/09t4t,15.14651559
Veterans,topic,/m/01wcxw,10.19580938
Wages,economy,/m/01_942,19.61782965
ISIS,topic,/m/027x630,2.57922578
Unemployment,economy,/m/07s_c,22.36008944
Terrorism,topic,/m/07jq_,3.370427349
Opioids,topic,/m/02k260,5.021524914
Immigration,topic,/m/0cbx95,22.40209509
Obamacare,topic,/m/09g7pqs,3.517955236
North Korea,country,/m/05b7q,13.89917585
Iran,country,/m/03shp,6.104979186
China,country,/m/0d05w3,32.43746836
Afghanistan,country,/m/0jdd,4.624282741
Russia,country,/m/06bnz,23.22891544
