timestamp,/m/01tf_6,/m/09t4t,/m/01wcxw,/m/01_942,/m/027x630,/m/07s_c,/m/07jq_,/m/02k260,/m/0cbx95,/m/09g7pqs,/m/05b7q,/m/03shp,/m/0jdd
us 2018-01-31T02:10:00Z,0.81,1.13,0.92,2.02,0.26,1.84,0.26,0.41,2.45,0.25,1.37,0.62,0.59
us 2018-01-31T02:11:00Z,0.78,1.3,0.66,1.81,0.14,1.64,0.35,0.61,2.21,0.31,1.62,0.71,0.65
us 2018-01-31T02:12:00Z,0.58,1.63,1.11,2.05,0.51,1.85,0.37,0.55,2.37,0.39,1.81,0.42,0.62
us 2018-01-31T02:13:00Z,0.41,1.4,0.78,1.76,0.34,1.56,0.39,0.45,2.7,0.35,1.49,0.6,0.49
us 2018-01-31T02:14:00Z,0.53,1.26,0.6,1.83,0.23,2.25,0.34,0.61,2.34,0.45,1.33,0.73,0.67
us 2018-01-31T02:15:00Z,0.47,1.35,0.94,2.07,0.23,1.56,0.6,0.49,2.21,0.45,1.7,0.62,0.62
us 2018-01-31T02:16:00Z,0.85,1.16,1.13,2.21,0.26,1.67,0.28,0.35,2.8,0.22,1.07,0.56,0.44
us 2018-01-31T02:17:00Z,0.64,1.46,0.93,1.85,0.37,1.71,0.34,0.61,2.48,0.34,1.27,0.56,0.5
us 2018-01-31T02:18:00Z,0.61,1.34,0.79,1.94,0.29,1.43,0.54,0.75,2.44,0.42,1.24,0.75,0.47
us 2018-01-31T02:19:00Z,0.78,3.06,0.77,12.68,0.14,12.22,0.43,0.55,2.6,0.53,1.3,0.73,0.48
us 2018-01-31T02:20:00Z,0.62,2.07,1.08,8.9,0.53,41.49,0.22,0.4,2.32,0.52,1.35,0.52,0.52
us 2018-01-31T02:21:00Z,0.48,1.5,1.07,4.87,0.36,18.25,0.28,0.56,2.68,0.19,1.21,0.76,0.38
us 2018-01-31T02:22:00Z,0.64,1.55,0.77,3.98,0.2,10.95,0.4,0.49,2.23,0.53,1.47,0.45,0.42
us 2018-01-31T02:23:00Z,0.93,1.74,0.69,4.15,0.26,7.59,0.35,0.62,2.43,5.45,1.35,0.6,0.51
us 2018-01-31T02:24:00Z,0.86,2.22,0.74,3.53,0.17,7.18,0.46,0.44,2.15,11.3,1.25,0.71,0.48
us 2018-01-31T02:25:00Z,0.71,18.09,1.04,3.66,0.28,6.51,0.26,0.46,2.3,4.86,1.49,0.39,0.31
us 2018-01-31T02:26:00Z,0.54,13.3,0.99,3.96,0.18,5.8,0.38,0.62,2.4,3.16,1.25,0.43,0.43
us 2018-01-31T02:27:00Z,0.58,7.38,1.14,4.37,0.23,6.4,0.29,0.81,2.54,3.19,1.61,0.56,0.39
us 2018-01-31T02:28:00Z,0.72,4.11,0.66,3.75,0.35,6.11,0.49,0.67,2.43,1.93,1.67,0.39,0.37
us 2018-01-31T02:29:00Z,0.64,2.85,1.17,2.99,0.38,5.43,0.37,0.55,3.02,2.33,1.31,0.85,0.48
us 2018-01-31T02:30:00Z,0.51,2.45,1.88,3,0.23,5.19,0.61,0.65,2.85,1.91,1.7,0.46,0.43
us 2018-01-31T02:31:00Z,0.48,2.47,5.07,3.08,0.35,5.01,0.53,0.77,2.6,1.69,1.33,0.52,0.6
us 2018-01-31T02:32:00Z,0.97,2,2.98,2.88,0.38,4.28,0.32,0.6,2.67,1.93,1.45,0.84,0.52
us 2018-01-31T02:33:00Z,0.76,2.24,2.77,2.87,0.2,4.74,0.41,0.62,2.78,1.76,1.38,0.37,0.74
us 2018-01-31T02:34:00Z,0.83,1.91,4.93,3.27,0.26,5.64,0.23,0.66,2.63,2.03,1.23,0.78,0.5
us 2018-01-31T02:35:00Z,0.59,1.96,11.42,2.88,0.29,4.64,0.26,0.61,2.64,2.12,1.65,0.42,0.54
us 2018-01-31T02:36:00Z,0.73,2.35,7.47,2.92,0.29,4.43,0.37,0.73,3.06,1.58,1.37,0.37,0.51
us 2018-01-31T02:37:00Z,0.5,2.32,4.65,2.95,0.32,5.68,0.2,0.85,2.57,1.89,1.63,0.54,0.68
us 2018-01-31T02:38:00Z,0.42,4.35,3.51,3.16,0.4,3.76,0.35,0.64,2.56,1.66,1.73,0.59,0.39
us 2018-01-31T02:39:00Z,0.58,5.03,3.51,2.68,0.17,5.13,0.4,0.63,2.65,1.4,1.49,0.73,0.33
us 2018-01-31T02:40:00Z,0.53,3.63,2.99,2.9,0.44,4.39,0.23,0.65,2.49,1.67,1.55,0.54,0.74
us 2018-01-31T02:41:00Z,0.68,3.35,2.62,2.61,0.24,3.89,0.59,0.86,3.4,1.72,1.65,0.64,0.37
us 2018-01-31T02:42:00Z,0.45,2.84,2.76,2.67,0.35,3.7,0.23,0.99,2.89,1.9,1.69,0.48,0.34
us 2018-01-31T02:43:00Z,0.81,2.53,2.56,2.87,0.46,3.52,0.54,0.87,3.32,1.26,1.58,0.76,0.51
us 2018-01-31T02:44:00Z,0.63,2.59,2.51,2.84,0.29,3.64,0.28,0.84,2.75,1.42,1.49,0.81,0.42
us 2018-01-31T02:45:00Z,0.64,2.24,2.27,2.29,0.26,3.46,0.4,0.9,2.57,1.32,1.53,0.62,0.67
